"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=10 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,2346,9,68,">BNV/","אַבְנֵט ",,,,,", , , ",,"subs",,"girdle",,,,,"girdle","girdle",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,599,63,69,">BNR/","אַבְנֵר ",,,,,", , , ",,"nmpr",,"Abner",,,"Mitchel_Sec4.G (65-63)",,"Abner","Abner",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4642,2,70,">BS[","אבס ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","qal","fatten",,,,,,"qal: fatten;","qal: fatten; qal pass: 0; ni: 0; pi: 0; pu: 0; hit: 0; hi: 0; ho: 0; hst: 0; etp: 0; nitp: 0; hotpa: 0; tif: 0; hitpo: 0; poa: 0; poe: 0.","no decision","fatten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4630,2,71,">B<B<T/","אֲבַעְבֻּעֹת ",,,,,", , , ",,"subs",,"blisters, boils",,,,,"blisters, boils","blisters, boils",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5937,1,72,">BY/","אָבֶץ ",,,,,", , , ",,"nmpr",,"Ebez",,,,,"Ebez","Ebez",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4643,2,73,">BYN/","אִבְצָן ",,,,,", , , ",,"nmpr",,"Ibzan",,,,,"Ibzan","Ibzan",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2894,6,74,">BQ/","אָבָק ",,,,,", , , ",,"subs",,"dust",,,,,"dust","dust",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4641,2,75,">BQ[","אבק ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","nif","wrestle",,,,,,"ni: wrestle;","qal: 0; qal pass: 0; ni: wrestle; pi: 0; pu: 0; hit: 0; hi: 0; ho: 0; hst: 0; etp: 0; nitp: 0; hotpa: 0; tif: 0; hitpo: 0; poa: 0; poe: 0.","no decision",0,"wrestle",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5931,1,76,">BQH/","אֲבָקָה ",,,,,", , , ",,"subs",,"scent-powder",,,,,"scent-powder","scent-powder",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3976,3,77,">BR/","אֵבֶר ",,,,,", , , ",,"subs",,"wing",,,,,"wing","wing",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
