"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,104,10,286,"JHWDJ/","יְהוּדָי",,,,,", , , ",,"adjv",,"Jew",,,,,,"Jew",,"done",,,,,,,,,,,,
,105,10,385,"MN=","מַן",,,,,", , , ",,"prin",,"who; whoever",,,,,,"who; whoever",,"done",,,,,,,,,,,,
,106,10,492,"<LJ/","עִלָּי",,,,,", , , ",,"adjv",,"highest",,,,,,"highest",,"done",,,,,,,,,,,,
,107,10,521,"PXH/","פֶּחָה",,,,,", , , ",,"subs",,"governor",,,,,,"governor",,"done",,,,,,,,,,,,
,108,10,527,"PLX[","פלח",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal","serve",,,,,,"peal: serve","peal: serve; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","serve",,,,,,,,,,,
,109,10,545,"YBH[","צבה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","peal","wish, desire",,,,,,"peal: wish, desire","peal: wish, desire; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","wish, desire",,,,,,,,,,,
,110,10,638,"CLJV/","שַׁלִּיט",,,,,", , , ",,"adjv",,"mighty",,,,,,"mighty",,"done",,,,,,,,,,,,
,111,9,2,">B/","אַב",,,,,", , , ",,"subs",,"father",,,,,,"father",,"done",,,,,,,,,,,,
,112,9,23,">XCDRPN/","אֲחַשְׁדַּרְפַּן",,,,,", , , ",,"subs",,"satrap",,,,,,"satrap",,"done",,,,,,,,,,,,
,113,9,135,"GLH[","גלה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","haf peal peil","reveal",,,,,,"peal: reveal; peil: be revealed; haf: take into exile","peal: reveal; pael: ; peil: be revealed; haf: take into exile; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","reveal",,"be revealed","take into exile",,,,,,,,
