"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,542,1,261,"XCXH/","חַשְׁחָה",,,,,", , , ",,"subs",,"need",,,,,,"need",,"done",,,,,,,,,,,,
,543,1,262,"XCXW/","חַשְׁחוּ",,,,,", , , ",,"subs",,"need",,,,,,"need",,"done",,,,,,,,,,,,
,544,1,263,"XCL[","חשׁל","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","peal","grind",,,,,,"peal: grind","peal: grind; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","grind",,,,,,,,,,,
,545,1,264,"XTM[","חתם","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","peal","seal",,,,,,"peal: seal","peal: seal; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","seal",,,,,,,,,,,
,546,1,265,"V>B[","טאב",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal","be good",,,,,,"peal: be good","peal: be good; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be good",,,,,,,,,,,
,547,1,267,"VBX/","טַבַּח",,,,,", , , ",,"subs",,"executioner; bodyguard",,,,,,"executioner; bodyguard",,"done",,,,,,,,,,,,
,548,1,269,"VWT","טְוָת",,,,,", , , ",,"advb",,"fastingly, hungrily",,,,,,"fastingly, hungrily",,"done",,,,,,,,,,,,
,549,1,272,"VLL[","טלל",,,,"geminate",", , , geminate","geminate","verb","haf","seek shade",,,,,,"haf: seek shade","haf: seek shade; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"seek shade",,,,,,,,
,550,1,277,"VRPLJ/","טַרְפְּלָי",,,,,", , , ",,"subs",,"<type of official>",,,,,,"<type of official>",,"done",,,,,,,,,,,,
,551,1,279,"JBCH/","יַבְּשָׁה",,,,,", , , ",,"subs",,"land",,,,,,"land",,"done",,,,,,,,,,,,
,552,1,280,"JGR/","יְגַר",,,,,", , , ",,"subs",,"heap of stones",,,,,,"heap of stones",,"done",,,,,,,,,,,,
,553,1,288,"JWYDQ/","יֹוצָדָק",,,,,", , , ",,"nmpr",,"Jozadak",,,,,,"Jozadak",,"done",,,,,,,,,,,,
,554,1,290,"JXV[","יחט","i-waw/yod","ii-guttural",,,"i-waw/yod, ii-guttural, , ","i-waw/yod, ii-guttural","verb","pael","dig?",,,,,,"pael: dig?","pael: dig?; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"dig?",,,,,,,,,,
,555,1,291,"JVB[","יטב","i-waw/yod",,,,"i-waw/yod, , , ","i-waw/yod","verb","peal","be pleasing",,,,,,"peal: be pleasing","peal: be pleasing; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be pleasing",,,,,,,,,,,
,556,1,294,"JSP[","יסף","i-waw/yod",,,,"i-waw/yod, , , ","i-waw/yod","verb","hof","be added",,,,,,"hof: be added","hof: be added; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: .","Hofal=5",,,,,"be added",,,,,,,
,557,1,296,"JY>[","יצא","i-waw/yod",,"iii-aleph",,"i-waw/yod, , iii-aleph, ","i-waw/yod, iii-aleph","verb","shaf","finish",,,,,,"peal: finish","peal: finish; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","finish",,,,,,,,,,,
,558,1,297,"JYB[","יצב","i-waw/yod",,,,"i-waw/yod, , , ","i-waw/yod","verb","pael","make certain",,,,,,"pael: make certain","pael: make certain; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"make certain",,,,,,,,,,
,559,1,300,"JQDH/","יְקֵדָה",,,,,", , , ",,"subs",,"burning",,,,,,"burning",,"done",,,,,,,,,,,,
,560,1,305,"JRKH/","יַרְכָה",,,,,", , , ",,"subs",,"thigh",,,,,,"thigh",,"done",,,,,,,,,,,,
,561,1,306,"JCW</","יֵשׁוּעַ",,,,,", , , ",,"nmpr",,"Jeshua",,,,,,"Jeshua",,"done",,,,,,,,,,,,
,562,1,308,"JT","יָת",,,,,", , , ",,"prep",,"<object marker>",,,,,"<OM>, object marker","<OM>, object marker",,"done",,,,,,,,,,,,
,563,1,312,"KDBH/","כִּדְבָה",,,,,", , , ",,"subs",,"lie",,,,,,"lie",,"done",,,,,,,,,,,,
,564,1,313,"KH","כָּה",,,,,", , , ",,"advb",,"here",,,,,,"here",,"done",,,,,,,,,,,,
,565,1,316,"KWH/","כַּוָּה",,,,,", , , ",,"subs",,"window",,,,,,"window",,"done",,,,,,,,,,,,
,566,1,318,"KKR/","כַּכַּר",,,,,", , , ",,"subs",,"talent <measure of weight>",,,,,,"talent <measure of weight>",,"done",,,,,,,,,,,,
,567,1,328,"K<T","כְּעֶת",,,,,", , , ",,"advb",,"and now",,,,,,"and now",,"done",,,,,,,,,,,,
,568,1,330,"KR/","כֹּר",,,,,", , , ",,"subs",,"cor <dry measure>",,,,,,"cor <dry measure>",,"done",,,,,,,,,,,,
,569,1,331,"KRBLH/","כַּרְבְּלָה",,,,,", , , ",,"subs",,"hat",,,,,,"hat",,"done",,,,,,,,,,,,
,570,1,332,"KRH[","כרה",,"ii-guttural","iii-hey",,", ii-guttural, iii-hey, ","ii-guttural, iii-hey","verb","etpe","be distressed",,,,,,"etpe: be distressed","etpe: be distressed; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: ; hitpa: ; hisht: .","Etpeel=12",,,,,,,,,,,,"be distressed"
,571,1,333,"KRWZ/","כָּרֹוז",,,,,", , , ",,"subs",,"herald",,,,,,"herald",,"done",,,,,,,,,,,,
,572,1,334,"KRZ[","כרז",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","haf","proclaim",,,,,,"haf: proclaim","haf: proclaim; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"proclaim",,,,,,,,
,573,1,342,"LB/","לֵב",,,,,", , , ",,"subs",,"heart",,,,,,"heart",,"done",,,,,,,,,,,,
,574,1,349,"LWT","לְוָת",,,,,", , , ",,"prep",,"with",,,,,,"with",,"done",,,,,,,,,,,,
,575,1,350,"LXM/","לְחֶם",,,,,", , , ",,"subs",,"meal",,,,,,"meal",,"done",,,,,,,,,,,,
,576,1,355,"M>ZN>/","מֹאזְנֵא",,,,,", , , ",,"subs",,"balance",,,,,,"balance",,"done",,,,,,,,,,,,
,577,1,358,"MGLH/","מְגִלָּה",,,,,", , , ",,"subs",,"scroll",,,,,,"scroll",,"done",,,,,,,,,,,,
,578,1,359,"MGR[","מגר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","pael","overthrow",,,,,,"pael: overthrow","pael: overthrow; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"overthrow",,,,,,,,,,
,579,1,360,"MDBX/","מַדְבַּח",,,,,", , , ",,"subs",,"altar",,,,,,"altar",,"done",,,,,,,,,,,,
,580,1,364,"MDJ=/","מָדַי II",,,,,", , , ",,"adjv",,"Median",,,,,,"Median",,"done",,,,,,,,,,,,
,581,1,367,"MWT/","מֹות",,,,,", , , ",,"subs",,"death",,,,,,"death",,"done",,,,,,,,,,,,
,582,1,370,"MXLQH/","מַחְלְקָה",,,,,", , , ",,"subs",,"division",,,,,,"division",,"done",,,,,,,,,,,,
,583,1,372,"MJC>L/","מִישָׁאֵל",,,,,", , , ",,"nmpr",,"Mishael",,,,,,"Mishael",,"done",,,,,,,,,,,,
,584,1,378,"MLX[","מלח",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal","eat salt, be under obligation",,,,,,"peal: eat salt, be under obligation","peal: eat salt, be under obligation; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","eat salt, be under obligation",,,,,,,,,,,
,585,1,379,"MLK=/","מְלַךְ",,,,,", , , ",,"subs",,"advise",,,,,,"advise",,"done",,,,,,,,,,,,
,586,1,390,"MNJN/","מִנְיָן",,,,,", , , ",,"subs",,"number",,,,,,"number",,"done",,,,,,,,,,,,
,587,1,391,"M<BD/","מַעֲבָד",,,,,", , , ",,"subs",,"work, deed",,,,,,"work, deed",,"done",,,,,,,,,,,,
,588,1,392,"M<H/","מְעֵה",,,,,", , , ",,"subs",,"belly",,,,,,"belly",,"done",,,,,,,,,,,,
,589,1,393,"M<L/","מֶעַל",,,,,", , , ",,"subs",,"going in; sunset",,,,,,"going in; sunset",,"done",,,,,,,,,,,,
,590,1,395,"MRD/","מְרַד",,,,,", , , ",,"subs",,"rebellion",,,,,,"rebellion",,"done",,,,,,,,,,,,
,591,1,397,"MRV[","מרט",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peil","plucked off",,,,,,"peal: plucked off","peal: plucked off; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","plucked off",,,,,,,,,,,
,592,1,398,"MCH/","מֹשֶׁה",,,,,", , , ",,"nmpr",,"Moses",,,,,,"Moses",,"done",,,,,,,,,,,,
,593,1,401,"MCKN/","מִשְׁכַּן",,,,,", , , ",,"subs",,"dwelling",,,,,,"dwelling",,"done",,,,,,,,,,,,
,594,1,403,"MCT>/","מִשְׁתֵּא",,,,,", , , ",,"subs",,"banquet",,,,,,"banquet",,"done",,,,,,,,,,,,
,595,1,405,"NB>[","נבא","i-nun",,"iii-aleph",,"i-nun, , iii-aleph, ","i-nun, iii-aleph","verb","htpa","prophesy",,,,,,"hitpa: prophesy","hitpa: prophesy; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: .","Hitpaal=9",,,,,,,,,"prophesy",,,
,596,1,406,"NBW>H/","נְבוּאָה",,,,,", , , ",,"subs",,"prophecy",,,,,,"prophecy",,"done",,,,,,,,,,,,
,597,1,410,"NBRCH/","נֶבְרְשָׁה",,,,,", , , ",,"subs",,"candlestick",,,,,,"candlestick",,"done",,,,,,,,,,,,
,598,1,411,"NGD/","נֶגֶד",,,,,", , , ",,"subs",,"toward, facing",,,,,,"toward, facing",,"done",,,,,,,,,,,,
,599,1,412,"NGD[","נגד","i-nun",,,,"i-nun, , , ","i-nun","verb","peal","flow",,,,,,"peal: flow","peal: flow; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","flow",,,,,,,,,,,
,600,1,413,"NGH/","נְגַהּ",,,,,", , , ",,"subs",,"brightness",,,,,,"brightness",,"done",,,,,,,,,,,,
,601,1,416,"NDD[","נדד","i-nun",,,"geminate","i-nun, , , geminate","i-nun, geminate","verb","peal","flee",,,,,,"peal: flee","peal: flee; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","flee",,,,,,,,,,,
,602,1,417,"NDNH/","נִדְנֶה",,,,,", , , ",,"subs",,"sheath, body?",,,,,,"sheath, body?",,"done",,,,,,,,,,,,
,603,1,418,"NHWR/","נְהֹור",,,,,", , , ",,"subs",,"light",,,,,,"light",,"done",,,,,,,,,,,,
,604,1,421,"NWD[","נוד","i-nun","ii-waw",,,"i-nun, ii-waw, , ","i-nun","verb","peal","flee",,,,,,"peal: flee","peal: flee; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","flee",,,,,,,,,,,
,605,1,428,"NVR[","נטר","i-nun",,"iii-guttural",,"i-nun, , iii-guttural, ","i-nun, iii-guttural","verb","peal","keep",,,,,,"peal: keep","peal: keep; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","keep",,,,,,,,,,,
,606,1,431,"NMR/","נְמַר",,,,,", , , ",,"subs",,"panther",,,,,,"panther",,"done",,,,,,,,,,,,
,607,1,432,"NSX[","נסח","i-nun",,"iii-guttural",,"i-nun, , iii-guttural, ","i-nun, iii-guttural","verb","htpe","be pulled out",,,,,,"hitpe: be pulled out","hitpe: be pulled out; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: .","Hitpeel=8",,,,,,,,"be pulled out",,,,
,608,1,433,"NSK/","נְסַךְ",,,,,", , , ",,"subs",,"libation",,,,,,"libation",,"done",,,,,,,,,,,,
,609,1,434,"NSK[","נסך","i-nun",,,,"i-nun, , , ","i-nun","verb","pael","pour out",,,,,,"pael: pour out","pael: pour out; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"pour out",,,,,,,,,,
,610,1,438,"NYBH/","נִצְבָּה",,,,,", , , ",,"subs",,"firmness",,,,,,"firmness",,"done",,,,,,,,,,,,
,611,1,439,"NYX[","נצח","i-nun",,"iii-guttural",,"i-nun, , iii-guttural, ","i-nun, iii-guttural","verb","htpa","distinguish oneself",,,,,,"hitpa: distinguish oneself","hitpa: distinguish oneself; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: .","Hitpaal=9",,,,,,,,,"distinguish oneself",,,
,612,1,441,"NQ>/","נְקֵא",,,,,", , , ",,"adjv",,"pure",,,,,,"pure",,"done",,,,,,,,,,,,
,613,1,442,"NQC[","נקשׁ","i-nun",,,,"i-nun, , , ","i-nun","verb","peal","knock",,,,,,"peal: knock","peal: knock; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","knock",,,,,,,,,,,
,614,1,443,"NCJN/","נְשִׁין",,,,,", , , ",,"subs",,"wives",,,,,,"wives",,"done",,,,,,,,,,,,
,615,1,444,"NCMH/","נִשְׁמָה",,,,,", , , ",,"subs",,"breath of life",,,,,,"breath of life",,"done",,,,,,,,,,,,
,616,1,448,"NTJN/","נְתִין",,,,,", , , ",,"subs",,"temple servant",,,,,,"temple servant",,"done",,,,,,,,,,,,
,617,1,450,"NTR[","נתר","i-nun",,"iii-guttural",,"i-nun, , iii-guttural, ","i-nun, iii-guttural","verb","afel","strip off",,,,,,"af: strip off","af: strip off; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Afel=6",,,,,,"strip off",,,,,,
,618,1,451,"SBL[","סבל",,,,"regular",", , , regular","regular","verb","pael","be laid?; be brought?",,,,,,"pael: be laid?, be brought?","pael: be laid?, be brought?; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"be laid?, be brought?",,,,,,,,,,
,619,1,452,"SBR[","סבר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal","intend",,,,,,"peal: intend","peal: intend; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","intend",,,,,,,,,,,
,620,1,455,"SGR[","סגר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal","shut",,,,,,"peal: shut","peal: shut; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","shut",,,,,,,,,,,
,621,1,460,"S<D[","סעד",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","pael","aid",,,,,,"pael: aid","pael: aid; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"aid",,,,,,,,,,
,622,1,465,"STR[","סתר I",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","pael","be hidden",,,,,,"pael: be hidden","pael: be hidden; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"be hidden",,,,,,,,,,
,623,1,466,"STR=[","סתר II",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal","demolish",,,,,,"peal: demolish","peal: demolish; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","demolish",,,,,,,,,,,
,624,1,476,"<WD/","עֹוד",,,,,", , , ",,"subs",,"still",,,,,,"still",,"done",,,,,,,,,,,,
,625,1,477,"<WJH/","עֲוָיָה",,,,,", , , ",,"subs",,"iniquity",,,,,,"iniquity",,"done",,,,,,,,,,,,
,626,1,479,"<WR/","עוּר",,,,,", , , ",,"subs",,"chaff",,,,,,"chaff",,"done",,,,,,,,,,,,
,627,1,480,"<Z/","עֵז",,,,,", , , ",,"subs",,"goat",,,,,,"goat",,"done",,,,,,,,,,,,
,628,1,483,"<ZRJH/","עֲזַרְיָה",,,,,", , , ",,"nmpr",,"Azariah",,,,,,"Azariah",,"done",,,,,,,,,,,,
,629,1,484,"<VH/","עֵטָה",,,,,", , , ",,"subs",,"advice",,,,,,"advice",,"done",,,,,,,,,,,,
,630,1,488,"<L>","עֵלָּא",,,,,", , , ",,"advb",,"above",,,,,,"above",,"done",,,,,,,,,,,,
,631,1,490,"<LWH/","עַלְוָה",,,,,", , , ",,"subs",,"burnt-offering",,,,,,"burnt-offering",,"done",,,,,,,,,,,,
,632,1,491,"<LJ=/","עִלִּי",,,,,", , , ",,"subs",,"upper room",,,,,,"upper room",,"done",,,,,,,,,,,,
,633,1,496,"<LMJ/","עֵלָמִי",,,,,", , , ",,"adjv",,"Elamite",,,,,,"Elamite",,"done",,,,,,,,,,,,
,634,1,497,"<L</","עֲלַע",,,,,", , , ",,"subs",,"rib",,,,,,"rib",,"done",,,,,,,,,,,,
,635,1,500,"<MJQ/","עַמִּיק",,,,,", , , ",,"adjv",,"deep",,,,,,"deep",,"done",,,,,,,,,,,,
,636,1,501,"<MR/","עֲמַר",,,,,", , , ",,"subs",,"wool",,,,,,"wool",,"done",,,,,,,,,,,,
,637,1,502,"<NH/","עֲנֵה",,,,,", , , ",,"adjv",,"miserable",,,,,,"miserable",,"done",,,,,,,,,,,,
,638,1,504,"<NN/","עֲנָן",,,,,", , , ",,"subs",,"cloud",,,,,,"cloud",,"done",,,,,,,,,,,,
,639,1,506,"<NC/","עֲנָשׁ",,,,,", , , ",,"subs",,"fine, punishment",,,,,,"fine, punishment",,"done",,,,,,,,,,,,
,640,1,508,"<YJB/","עֲצִיב",,,,,", , , ",,"adjv",,"sad",,,,,,"sad",,"done",,,,,,,,,,,,
,641,1,510,"<QR[","עקר","i-guttural",,"iii-guttural",,"i-guttural, , iii-guttural, ","i-guttural, iii-guttural","verb","etpe","be rooted up",,,,,,"etpe: be rooted up","etpe: be rooted up; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: ; hitpa: ; hisht: .","Etpeel=12",,,,,,,,,,,,"be rooted up"
,642,1,511,"<R/","עָר",,,,,", , , ",,"subs",,"adversary",,,,,,"adversary",,"done",,,,,,,,,,,,
,643,1,513,"<RD/","עֲרָד",,,,,", , , ",,"subs",,"wild ass",,,,,,"wild ass",,"done",,,,,,,,,,,,
,644,1,514,"<RWH/","עַרְוָה",,,,,", , , ",,"subs",,"shame",,,,,,"shame",,"done",,,,,,,,,,,,
,645,1,515,"<CT[","עשׁת","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","peal","intend",,,,,,"peal: intend","peal: intend; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","intend",,,,,,,,,,,
,646,1,518,"<FRJN/","עֶשְׂרִין",,,,,", , , ",,"subs",,"twenty",,,,,,"twenty",,"done",,,,,,,,,,,,
,647,1,519,"<TJD/","עֲתִיד",,,,,", , , ",,"adjv",,"ready",,,,,,"ready",,"done",,,,,,,,,,,,
,648,1,522,"PXR/","פֶּחָר",,,,,", , , ",,"subs",,"potter",,,,,,"potter",,"done",,,,,,,,,,,,
,649,1,523,"PVC/","פְּטַשׁ",,,,,", , , ",,"subs",,"a garment",,,,,,"a garment",,"done",,,,,,,,,,,,
,650,1,524,"PLG/","פְּלַג",,,,,", , , ",,"subs",,"half",,,,,,"half",,"done",,,,,,,,,,,,
,651,1,525,"PLG[","פלג",,,,"regular",", , , regular","regular","verb","peal","divided",,,,,,"peal: divided","peal: divided; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","divided",,,,,,,,,,,
,652,1,526,"PLGH/","פְּלֻגָּה",,,,,", , , ",,"subs",,"division",,,,,,"division",,"done",,,,,,,,,,,,
,653,1,528,"PLXN/","פָּלְחָן",,,,,", , , ",,"subs",,"service, worship",,,,,,"service, worship",,"done",,,,,,,,,,,,
,654,1,535,"PRS[","פרס",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peil","break in two",,,,,,"peal: break in two","peal: break in two; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","break in two",,,,,,,,,,,
,655,1,536,"PRSJ/","פַּרְסָי",,,,,", , , ",,"adjv",,"Persian",,,,,,"Persian",,"done",,,,,,,,,,,,
,656,1,537,"PRQ[","פרק",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal","remove",,,,,,"peal: remove","peal: remove; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","remove",,,,,,,,,,,
,657,1,538,"PRC[","פרשׁ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","pael","be distinct?",,,,,,"pael: be distinct?","pael: be distinct?; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"be distinct?",,,,,,,,,,
,658,1,546,"YBW/","צְבוּ",,,,,", , , ",,"subs",,"thing",,,,,,"thing",,"done",,,,,,,,,,,,
,659,1,549,"YD>","צְדָא",,,,,", , , ",,"advb",,"really",,,,,,"really",,"done",,,,,,,,,,,,
,660,1,550,"YDQH/","צִדְקָה",,,,,", , , ",,"subs",,"charity",,,,,,"charity",,"done",,,,,,,,,,,,
,661,1,555,"YPJR/","צְפִיר",,,,,", , , ",,"subs",,"he-goat",,,,,,"he-goat",,"done",,,,,,,,,,,,
,662,1,566,"QJV/","קַיִט",,,,,", , , ",,"subs",,"summer",,,,,,"summer",,"done",,,,,,,,,,,,
,663,1,570,"QNH[","קנה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","peal","buy",,,,,,"peal: buy","peal: buy; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","buy",,,,,,,,,,,
,664,1,571,"QYP/","קְצַף",,,,,", , , ",,"subs",,"wrath",,,,,,"wrath",,"done",,,,,,,,,,,,
,665,1,572,"QYP[","קצף",,,,"regular",", , , regular","regular","verb","peal","get angry",,,,,,"peal: get angry","peal: get angry; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","get angry",,,,,,,,,,,
,666,1,573,"QYY[","קצץ",,,,"geminate",", , , geminate","geminate","verb","pael","cut off",,,,,,"pael: cut off","pael: cut off; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"cut off",,,,,,,,,,
,667,1,576,"QRB/","קְרָב",,,,,", , , ",,"subs",,"war",,,,,,"war",,"done",,,,,,,,,,,,
,668,1,591,"RGZ/","רְגַז",,,,,", , , ",,"subs",,"anger",,,,,,"anger",,"done",,,,,,,,,,,,
,669,1,592,"RGZ[","רגז",,,,"regular",", , , regular","regular","verb","haf","make angry",,,,,,"haf: make angry","haf: make angry; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"make angry",,,,,,,,
,670,1,601,"RXJQ/","רַחִיק",,,,,", , , ",,"adjv",,"far",,,,,,"far",,"done",,,,,,,,,,,,
,671,1,602,"RXMJN/","רַחֲמִין",,,,,", , , ",,"subs",,"compassion",,,,,,"compassion",,"done",,,,,,,,,,,,
,672,1,603,"RXY[","רחץ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","htpe","trust in",,,,,,"hitpe: trust in","hitpe: trust in; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: .","Hitpeel=8",,,,,,,,"trust in",,,,
,673,1,604,"RJX/","רֵיחַ",,,,,", , , ",,"subs",,"smell",,,,,,"smell",,"done",,,,,,,,,,,,
,674,1,608,"R<NN/","רַעְנַן",,,,,", , , ",,"adjv",,"flourishing",,,,,,"flourishing",,"done",,,,,,,,,,,,
,675,1,613,"C>LH/","שְׁאֵלָה",,,,,", , , ",,"subs",,"question; affair",,,,,,"question; affair",,"done",,,,,,,,,,,,
,676,1,614,"C>LTJ>L/","שְׁאַלְתִּיאֵל",,,,,", , , ",,"nmpr",,"Shealtiel",,,,,,"Shealtiel",,"done",,,,,,,,,,,,
,677,1,617,"CBV/","שְׁבַט",,,,,", , , ",,"subs",,"tribe",,,,,,"tribe",,"done",,,,,,,,,,,,
,678,1,621,"CBC[","שׁבשׁ",,,,"regular",", , , regular","regular","verb","htpa","be confused",,,,,,"hitpa: be confused","hitpa: be confused; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: .","Hitpaal=9",,,,,,,,,"be confused",,,
,679,1,623,"CDR[","שׁדר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","htpa","strive",,,,,,"hitpa: strive","hitpa: strive; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: .","Hitpaal=9",,,,,,,,,"strive",,,
,680,1,627,"CWCNKJ/","שׁוּשַׁנְכָי",,,,,", , , ",,"adjv",,"from Susa",,,,,,"from Susa",,"done",,,,,,,,,,,,
,681,1,631,"CLH/","שְׁלֵה",,,,,", , , ",,"adjv",,"carefree",,,,,,"carefree",,"done",,,,,,,,,,,,
