"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
,1307,24,5006,"NZH[","נזה","i-nun",,"iii-hey",,"verb","hif qal","spatter",,,,"Mitchel_Sec5.N (24)",,,,"qal: spatter, sprinkle; hi: be sprinkled, spatter;","qal: XXX; hi: aspergir, ser aspergido; ","qal: spatter, sprinkle; ni: ; pi: ; pu: ; hit: ; hi: be sprinkled, spatter; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: aspergir, ser aspergido; ho: ; hst: ","Q=1","spatter, sprinkle","XXX",,,,,,,,,"be sprinkled, spatter","aspergir, ser aspergido",,,,,,,,,,
,1308,24,5643,"<WP[","עוף","i-guttural",,,"ii-waw","verb","hif hit piel qal","fly",,,,"Mitchel_Sec5.L (28-27)",,,,"qal: fly;","qal: XXX; ","qal: fly; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","fly","XXX",,,,,,,,,,,,,,,,,,,,
,1309,24,5818,"<LJLH/","עֲלִילָה",,,,,"subs",,"deed",,,,"Mitchel_Sec5.M (26-25)",,"deed, action","crisol","deed, action","crisol","deed, action",,"done",,,,,,,,,,,,,,,,,,,,,,
,1310,24,6370,"PQWDJM/","פִּקּוּדִים",,,,,"subs",,"orders",,,,"Mitchel_Sec5.N (24)",,"directions, orders","ordens","directions, orders","ordens","directions, orders",,"done",,,,,,,,,,,,,,,,,,,,,,
,1311,24,7200,"RWC[","רושׁ","i-guttural",,,"ii-waw","verb","hit qal","be poor",,,,"Mitchel_Sec5.N (24)",,,,"qal: be poor;","qal: XXX; ","qal: be poor; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","be poor","XXX",,,,,,,,,,,,,,,,,,,,
,1312,24,7794,"CKL[","שׁכל",,,,"regular","verb","hif piel qal","become childless",,,,"Mitchel_Sec5.N (24)",,,,"pi: make childless; miscarry; qal: become childless;","pi: XXX; qal: XXX; ","pi: make childless; miscarry; qal: become childless; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","pi: XXX; qal: XXX; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","P=3","become childless","XXX",,,"make childless; miscarry","XXX",,,,,,,,,,,,,,,,
,1313,24,7897,"CLCWM/","שִׁלְשֹׁום",,,,,"subs",,"day before yesterday",,,,"Mitchel_Sec5.M (26-25)",,"(idom) three (days ago, day before yesterday)","anteontem","three days ago, day before yesterday","anteontem","three days ago, day before yesterday",,"done",,,,,,,,,,,,,,,,,,,,,,
,1314,24,8293,"TWKXT/","תֹּוכַחַת",,,,,"subs",,"rebuke",,,,"Mitchel_Sec5.N (24)",,"reprimand","repreensão","reprimand","repreensão","reprimand",,"done",,,,,,,,,,,,,,,,,,,,,,
,1315,24,8307,"TWR[","תור",,,,"ii-waw","verb","hif qal","explore, investigate",,,,"Mitchel_Sec5.M (26-25)",,,,"qal: go about, explore; spy out;","qal: XXX; ","qal: go about, explore; spy out; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","go about, explore; spy out","XXX",,,,,,,,,,,,,,,,,,,,
,1316,23,24,">BJH/","אֲבִיָּה",,,,,"nmpr",,"Abijah","Abias",,,"Mitchel_Sec5.O (23)",,,,"Abijah","Abias","Abijah",,"done",,,,,,,,,,,,,,,,,,,,,,
,1317,23,1476,"GLX[","גלח",,,"iii-guttural",,"verb","hit piel pual","shave",,,,"Mitchel_Sec5.O (23)",,,,"pi: shave;","pi: mostrar; ","pi: shave; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","pi: mostrar; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","P=3",,,,,"shave","mostrar",,,,,,,,,,,,,,,,
,1318,23,1696,"DJN[","דין",,,,"ii-yod","verb","nif qal","plead, judge",,,,"Mitchel_Sec5.N (24)",,,,"qal: judge; bring justice;","qal: XXX; ","qal: judge; bring justice; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","judge; bring justice","XXX",,,,,,,,,,,,,,,,,,,,
,1319,23,1747,"DM<H/","דִּמְעָה",,,,,"subs",,"tears","lágrimas",,,"Mitchel_Sec5.O (23)",,,,"tears","lágrimas","tears",,"done",,,,,,,,,,,,,,,,,,,,,,
,1320,23,2042,"ZKR/","זֵכֶר",,,,,"subs",,"remembrance, memory",,,,"Mitchel_Sec5.O (23)",,"mention, remembrance","lembrança","mention, remembrance, memory","lembrança","mention, remembrance, memory",,"done",,,,,,,,,,,,,,,,,,,,,,
,1321,23,2267,"XZ>L/","חֲזָאֵל",,,,,"nmpr",,"Hazael","Hazael",,,"Mitchel_Sec5.O (23)",,,,"Hazael","Hazael","Hazael",,"done",,,,,,,,,,,,,,,,,,,,,,
,1322,23,2407,"XLQH/","חֶלְקָה",,,,,"subs",,"portion of ground, field",,,,"Mitchel_Sec5.N (24)",,"piece of land, plot of ground","parte lisa","piece of land, plot of ground, field","parte lisa","piece of land, plot of ground, field",,"done",,,,,,,,,,,,,,,,,,,,,,
,1323,23,2533,"XSR[","חסר","i-guttural",,,,"verb","hif piel qal","lack, be lacking, decrease",,,,"Mitchel_Sec5.O (23)",,,,"qal: lack, be lacking, decrease;","qal: XXX; ","qal: lack, be lacking, decrease; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","lack, be lacking, decrease","XXX",,,,,,,,,,,,,,,,,,,,
,1324,23,2555,"XPR=[","חפר",,,,,"verb","qal","dig, search",,,,"Mitchel_Sec5.O (23)",,,,"qal: dig, search;","qal: XXX; ","qal: dig, search; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","dig, search","XXX",,,,,,,,,,,,,,,,,,,,
,1325,23,2562,"XPF[","חפשׂ","i-guttural",,,,"verb","hit nif piel pual qal","search, search for",,,,"Mitchel_Sec5.O (23)",,,,"pi: search for, search through; qal: search out, check;","pi: procurar; qal: XXX; ","pi: search for, search through; qal: search out, check; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","pi: procurar; qal: XXX; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","P=3","search out, check","XXX",,,"search for, search through","procurar",,,,,,,,,,,,,,,,
,1326,23,3165,"J<L[","יעל","i-waw","ii-guttural",,,"verb","hif","profit, avail, benefit",,,,"Mitchel_Sec5.O (23)",,,,"hi: help, be of use;","hi: servir, aproveitar; ","hi: help, be of use; qal: ; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","hi: servir, aproveitar; qal: ; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","H=6",,,,,,,,,,,"help, be of use","servir, aproveitar",,,,,,,,,,
,1327,23,3214,"JYHR/","יִצְהָר",,,,,"subs",,"oil",,,,"Mitchel_Sec5.O (23)",,"olive oil","azeite","olive oil","azeite","olive oil",,"done",,,,,,,,,,,,,,,,,,,,,,
,1328,23,3434,"KHN[","כהן",,"ii-guttural",,,"verb","piel","act as priest",,,,"Mitchel_Sec5.O (23)",,,,"pi: act as priest;","pi: ser sacerdote, oficiar; ","pi: act as priest; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","pi: ser sacerdote, oficiar; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","P=3",,,,,"act as priest","ser sacerdote, oficiar",,,,,,,,,,,,,,,,
,1329,23,3478,"KJWR/","כִּיֹּור",,,,,"subs",,"basin, pot","panela, bacia",,,"Mitchel_Sec5.O (23)",,,,"basin, pot","panela, bacia","basin, pot",,"done",,,,,,,,,,,,,,,,,,,,,,
,1330,23,3875,"MBW>/","מָבֹוא",,,,,"subs",,"entrance, entering","entrada, acesso",,,"Mitchel_Sec5.L (28-27)",,,,"entrance, entering","entrada, acesso","entrance, entering",,"done",,,,,,,,,,,,,,,,,,,,,,
,1331,23,4200,"MJCWR/","מִישֹׁור",,,,,"subs",,"uprightness, level place",,,,"Mitchel_Sec5.O (23)",,"level ground, plain","plano, planície","level ground, plain","plano, planície","level ground, plain",,"done",,,,,,,,,,,,,,,,,,,,,,
,1332,23,4385,"MS/","מַס",,,,,"subs",,"forced labour; task-workers <collective>",,,,"Mitchel_Sec5.O (23)",,"compulsory labor","trabalho forçado","compulsory labor","trabalho forçado","compulsory labor",,"done",,,,,,,,,,,,,,,,,,,,,,
,1333,23,4469,"M<JN/","מַעְיָן",,,,,"subs",,"spring","fonte, manancial",,,"Mitchel_Sec5.O (23)",,,,"spring","fonte, manancial","spring",,"done",,,,,,,,,,,,,,,,,,,,,,
,1334,23,4622,"MQR>/","מִקְרָא",,,,,"subs",,"convoking, convocation, reading","assembléia, convocação",,,"Mitchel_Sec5.O (23)",,,,"convoking, convocation, reading","assembléia, convocação","convoking, convocation, reading",,"done",,,,,,,,,,,,,,,,,,,,,,
,1335,23,4678,"MRJ/","מְרִי",,,,,"subs",,"rebellion",,,,"Mitchel_Sec5.O (23)",,"obstinacy","rebeldia, sedição","obstinacy","rebeldia, sedição","obstinacy",,"done",,,,,,,,,,,,,,,,,,,,,,
,1336,23,4940,"NGF[","נגשׂ","i-nun",,,,"verb","nif qal","press, drive; oppressor",,,,"Mitchel_Sec5.O (23)",,,,"qal: beat, drive;","qal: XXX; ","qal: beat, drive; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","beat, drive","XXX",,,,,,,,,,,,,,,,,,,,
,1337,23,5721,"<VRH/","עֲטָרָה",,,,,"subs",,"wreath, crown","coroa, diadema",,,"Mitchel_Sec5.O (23)",,,,"wreath, crown","coroa, diadema","wreath, crown",,"done",,,,,,,,,,,,,,,,,,,,,,
,1338,23,6099,"<CJR/","עָשִׁיר",,,,,"adjv",,"rich",,,,"Mitchel_Sec5.O (23)",,"wealthy, rich","rico, abastado","wealthy, rich","rico, abastado","wealthy, rich",,"done",,,,,,,,,,,,,,,,,,,,,,
,1339,23,6334,"PSJL/","פָּסִיל",,,,,"subs",,"idol",,,,"Mitchel_Sec5.O (23)",,"(pl) idols","ídolos","idol","ídolos","idol",,"done",,,,,,,,,,,,,,,,,,,,,,
,1340,23,6401,"PRZJ/","פְּרִזִּי",,,,,"adjv",,"Perizzite","ferezeu",,,"Mitchel_Sec5.O (23)",,,,"Perizzite","ferezeu","Perizzite",,"done",,,,,,,,,,,,,,,,,,,,,,
,1341,23,6551,"YHRJM/","צָהֳרַיִם",,,,,"subs",,"noon",,,,"Mitchel_Sec5.O (23)",,"midday, noon","Meio-dia","midday, noon","Meio-dia","midday, noon",,"done",,,,,,,,,,,,,,,,,,,,,,
,1342,23,7123,"RBB[","רבב","i-guttural",,,"geminate","verb","pual qal","be much, many",,,,"Mitchel_Sec5.N (24)",,,,"qal: be great, become great, be much, be numerous;","qal: XXX; ","qal: be great, become great, be much, be numerous; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","be great, become great, be much, be numerous","XXX",,,,,,,,,,,,,,,,,,,,
,1343,23,7168,"RDH[","רדה","i-guttural",,"iii-hey",,"verb","hif qal","tread; rule",,,,"Mitchel_Sec5.M (26-25)",,,,"qal: tread; rule;","qal: XXX; ","qal: tread; rule; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","tread; rule","XXX",,,,,,,,,,,,,,,,,,,,
,1344,23,7494,"CB>/","שְׁבָא",,,,,"nmpr",,"Sheba","Sabá",,,"Mitchel_Sec5.O (23)",,,,"Sheba","Sabá","Sheba",,"done",,,,,,,,,,,,,,,,,,,,,,
,1345,23,7686,"CXD/","שֹׁחַד",,,,,"subs",,"present, bribe",,,,"Mitchel_Sec5.O (23)",,"gift, bribe","subornar, corromper","gift, present, bribe","subornar, corromper","gift, present, bribe",,"done",,,,,,,,,,,,,,,,,,,,,,
,1346,23,7714,"CXR/","שַׁחַר",,,,,"subs",,"dawn","alvorada, alva",,,"Mitchel_Sec5.N (24)",,,,"dawn","alvorada, alva","dawn",,"done",,,,,,,,,,,,,,,,,,,,,,
,1347,23,7721,"CXT/","שַׁחַת",,,,,"subs",,"pit; grave","cova, fosso",,,"Mitchel_Sec5.O (23)",,,,"pit; grave","cova, fosso","pit; grave",,"done",,,,,,,,,,,,,,,,,,,,,,
,1348,23,7812,"CKR=/","שֵׁכָר",,,,,"subs",,"strong drink",,,,"Mitchel_Sec5.O (23)",,"intoxicating drink, beer","licor, bebida alcoólica","beer, strong drink, intoxicating drink","licor, bebida alcoólica","beer, strong drink, intoxicating drink",,"done",,,,,,,,,,,,,,,,,,,,,,
,1349,23,8001,"CNH=/","שֵׁנָה",,,,,"subs",,"sleep","dormir",,,"Mitchel_Sec5.O (23)",,,,"sleep","dormir","sleep",,"done",,,,,,,,,,,,,,,,,,,,,,
,1350,23,8305,"TWY>WT/","תֹּוצָאֹות",,,,,"subs",,"outlets",,,,"Mitchel_Sec5.O (23)",,"exits, starting point","limites, fronteiras","outlets, exits from the city; limit (of the borderline)","limites, fronteiras","outlets, exits from the city; limit (of the borderline)",,"done",,,,,,,,,,,,,,,,,,,,,,
,1351,23,8343,"TJMN/","תֵּימָן",,,,,"subs",,"south",,,,"Mitchel_Sec5.N (24)",,"south, southern area","sul","south, southern area","sul","south, southern area",,"done",,,,,,,,,,,,,,,,,,,,,,
,1352,23,8388,"TM=/","תֹּם",,,,,"subs",,"completeness; innocence",,,,"Mitchel_Sec5.L (28-27)",,"integrity, completeness","integridade, honradez","integrity, completeness, innocence","integridade, honradez","integrity, completeness, innocence",,"done",,,,,,,,,,,,,,,,,,,,,,
,1353,23,8393,"TMWL/","תְּמֹול",,,,,"subs",,"yesterday","ontem",,,"Mitchel_Sec5.O (23)",,,,"yesterday","ontem","yesterday",,"done",,,,,,,,,,,,,,,,,,,,,,
,1354,22,336,">JZBL/","אִיזֶבֶל",,,,,"nmpr",,"Jezebel","Jezabel",,,"Mitchel_Sec5.P (22)",,,,"Jezebel","Jezabel","Jezebel",,"done",,,,,,,,,,,,,,,,,,,,,,
,1355,22,344,">JL===/","אַיִל",,,,,"subs",,"pillar",,,,"Mitchel_Sec5.P (22)",,"gatepost","pilastras","gatepost","pilastras","gatepost",,"done",,,,,,,,,,,,,,,,,,,,,,
,1356,22,643,">PR/","אֵפֶר",,,,,"subs",,"dust",,,,"Mitchel_Sec5.P (22)",,"ashes, dust","pó","ashes, dust","pó","ashes, dust",,"done",,,,,,,,,,,,,,,,,,,,,,
,1357,22,1097,"B<Z/","בֹּעַז",,,,,"nmpr",,"Boaz","Boaz",,,"Mitchel_Sec5.P (22)",,,,"Boaz","Boaz","Boaz",,"done",,,,,,,,,,,,,,,,,,,,,,
,1358,22,1150,"BY</","בֶּצַע",,,,,"subs",,"profit",,,,"Mitchel_Sec5.O (23)",,"a piece cut off","lucro","a piece cut off","lucro","a piece cut off",,"done",,,,,,,,,,,,,,,,,,,,,,
,1359,22,1366,"GD<[","גדע",,,"iii-guttural",,"verb","nif piel pual qal","cut off",,"גָּדַע","גָּדַע","Mitchel_Sec5.P (22)",,,,"qal: cut off;","qal: XXX; ","qal: cut off; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","cut off","XXX",,,,,,,,,,,,,,,,,,,,
,1360,22,1564,"GR<[","גרע",,"ii-guttural","iii-guttural",,"verb","nif piel qal","diminish, limit",,,,"Mitchel_Sec5.Q (21)",,,,"qal: shave, diminish;","qal: XXX; ","qal: shave, diminish; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","shave, diminish","XXX",,,,,,,,,,,,,,,,,,,,
,1361,22,1792,"DT/","דָּת",,,,,"subs",,"decree, law",,,,"Mitchel_Sec5.P (22)",,"regulation, law","decreto","regulation, law, decree","decreto","regulation, law, decree",,"done",,,,,,,,,,,,,,,,,,,,,,
,1362,22,1873,"HJN/","הִין",,,,,"subs",,"hin <measure of oil>","medida de líquidos",,,"Mitchel_Sec5.P (22)",,,,"hin (measure of oil)","medida de líquidos","hin (measure of oil)",,"done",,,,,,,,,,,,,,,,,,,,,,
,1363,22,2091,"Z<M/","זַעַם",,,,,"subs",,"indignation, curse","indignação",,,"Mitchel_Sec5.P (22)",,,,"indignation, curse","indignação","indignation, curse",,"done",,,,,,,,,,,,,,,,,,,,,,
,1364,22,2240,"XWL/","חֹול",,,,,"subs",,"sand, mud",,,,"Mitchel_Sec5.O (23)",,"sand, mud","areia","sand, mud","areia","sand, mud",,"done",,,,,,,,,,,,,,,,,,,,,,
,1365,22,2879,"J>R/","יְאֹר",,,,,"subs",,"stream, river","rio",,,"Mitchel_Sec4.G (65-63)",,,,"stream, river","rio","stream, river",,"done",,,,,,,,,,,,,,,,,,,,,,
,1366,22,3467,"KXC[","כחשׁ",,"ii-guttural",,,"verb","hit nif piel qal","grow lean",,,,"Mitchel_Sec5.P (22)",,,,"qal: become lean; pi: deny, deceive;","qal: XXX; pi: negar; ","qal: become lean; ni: ; pi: deny, deceive; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: negar; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","become lean","XXX",,,"deny, deceive","negar",,,,,,,,,,,,,,,,
,1367,22,3499,"KLH=/","כָּלָה",,,,,"subs",,"destruction, annihilation","destruição, aniquilação",,,"Mitchel_Sec5.P (22)",,,,"destruction, annihilation","destruição, aniquilação","destruction, annihilation",,"done",,,,,,,,,,,,,,,,,,,,,,
,1368,22,3534,"KN/","כֵּן",,,,,"adjv",,"upright, true, correct","retidão, verdade",,,"Mitchel_Sec1.D (729-500)",,,,"rightly, right, upright","retidão, verdade","rightly, right, upright",,"done",,,,,,,,,,,,,,,,,,,,,,
,1369,22,3641,"KRML==/","כַּרְמֶל",,,,,"nmpr",,"(Mount) Carmel","Monte Carmelo",,,"Mitchel_Sec5.X (14)",,,,"(Mount) Carmel","Monte Carmelo","(Mount) Carmel",,"done",,,,,,,,,,,,,,,,,,,,,,
,1370,22,3742,"LW","לוּ",,,,,"conj",,"if only, would that","se, talvez",,,"Mitchel_Sec5.P (22)",,,,"if only, would that","se, talvez","if only, would that",,"done",,,,,,,,,,,,,,,,,,,,,,
,1371,22,4008,"MWLDT/","מֹולֶדֶת",,,,,"subs",,"offspring, kindred",,,,"Mitchel_Sec5.P (22)",,"descendants, kindred","descendência, nascimento","offspring, descendants, kindred","descendência, nascimento","offspring, descendants, kindred",,"done",,,,,,,,,,,,,,,,,,,,,,
,1372,22,4157,"MXTH/","מַחְתָּה",,,,,"subs",,"fire-holder",,,,"Mitchel_Sec5.P (22)",,"fire-pan","braseiro","fire-pan","braseiro","fire-pan",,"done",,,,,,,,,,,,,,,,,,,,,,
,1373,22,4217,"MKJR/","מָכִיר",,,,,"nmpr",,"Makir","Maquir",,,"Mitchel_Sec5.P (22)",,,,"Makir","Maquir","Makir",,"done",,,,,,,,,,,,,,,,,,,,,,
,1374,22,4460,"M<V[","מעט",,"ii-guttural",,,"verb","hif piel qal","be few, become few",,,,"Mitchel_Sec5.P (22)",,,,"qal: be few, become few;","qal: XXX; ","qal: be few, become few; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","be few, become few","XXX",,,,,,,,,,,,,,,,,,,,
,1375,22,4728,"MF>=/","מַשָּׂא",,,,,"subs",,"utterance","oráculo, carga",,,"Mitchel_Sec5.Q (21)",,,,"utterance","oráculo, carga","utterance",,"done",,,,,,,,,,,,,,,,,,,,,,
,1376,22,4809,"MCMR/","מִשְׁמָר",,,,,"subs",,"guard, confinement; gaol","cárcere, prisão",,,"Mitchel_Sec5.R (20)",,,,"guard; lookout; division of service","cárcere, prisão","guard; lookout; division of service",,"done",,,,,,,,,,,,,,,,,,,,,,
,1377,22,4844,"MT/","מַת",,,,,"subs",,"male, man",,,,"Mitchel_Sec5.Q (21)",,"men","homem","men","homem","men",,"done",,,,,,,,,,,,,,,,,,,,,,
,1378,22,4901,"NBWT/","נָבֹות",,,,,"nmpr",,"Naboth","Nabote",,,"Mitchel_Sec5.P (22)",,,,"Naboth","Nabote","Naboth",,"done",,,,,,,,,,,,,,,,,,,,,,
,1379,22,4915,"NBL===/","נָבָל",,,,,"nmpr",,"Nabal","Nabal",,,"Mitchel_Sec5.P (22)",,,,"Nabal","Nabal","Nabal",,"done",,,,,,,,,,,,,,,,,,,,,,
,1380,22,5139,"N<L/","נַעַל",,,,,"subs",,"sandal","sandália",,,"Mitchel_Sec5.P (22)",,,,"sandal","sandália","sandal",,"done",,,,,,,,,,,,,,,,,,,,,,
,1381,22,5207,"NQBH/","נְקֵבָה",,,,,"adjv",,"female","fêmea",,,"Mitchel_Sec5.P (22)",,,,"female","fêmea","female",,"done",,,,,,,,,,,,,,,,,,,,,,
,1382,22,5479,"SQL[","סקל",,,,"regular","verb","nif piel pual qal","stone to death",,,,"Mitchel_Sec5.P (22)",,,,"qal: stone to death;","qal: XXX; ","qal: stone to death; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","stone to death","XXX",,,,,,,,,,,,,,,,,,,,
,1383,22,5620,"<WG/","עֹוג",,,,,"nmpr",,"Og","Ogue",,,"Mitchel_Sec5.P (22)",,,,"Og","Ogue","Og",,"done",,,,,,,,,,,,,,,,,,,,,,
,1384,22,5663,"<Z===/","עַז",,,,,"adjv",,"strong",,,,"Mitchel_Sec4.A (99-93)",,"strength, power, might","forte","strong","forte","strong",,"done",,,,,,,,,,,,,,,,,,,,,,
,1385,22,5699,"<ZR>/","עֶזְרָא",,,,,"nmpr",,"Ezra","Ezra",,,"Mitchel_Sec5.P (22)",,,,"Ezra","Ezra","Ezra",,"done",,,,,,,,,,,,,,,,,,,,,,
,1386,22,6011,"<QRWN/","עֶקְרֹון",,,,,"nmpr",,"Ekron","Ecrom",,,"Mitchel_Sec5.P (22)",,,,"Ekron","Ecrom","Ekron",,"done",,,,,,,,,,,,,,,,,,,,,,
,1387,22,6155,"<TR[","עתר","i-guttural",,,,"verb","hif nif qal","entreat",,,,"Mitchel_Sec5.R (20)",,,,"ni: be moved by entreaties; qal: pray;","ni: escutar, atender; qal: XXX; ","ni: be moved by entreaties; qal: pray; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","ni: escutar, atender; qal: XXX; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","N=2","pray","XXX","be moved by entreaties","escutar, atender",,,,,,,,,,,,,,,,,,
,1388,22,6176,"PGR/","פֶּגֶר",,,,,"subs",,"corpse","cadáver",,,"Mitchel_Sec5.P (22)",,,,"corpse","cadáver","corpse",,"done",,,,,,,,,,,,,,,,,,,,,,
,1389,22,6454,"PFH[","פשׂה",,,"iii-hey",,"verb","qal","spread",,,,"Mitchel_Sec5.P (22)",,,,"qal: spread;","qal: XXX; ","qal: spread; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","spread","XXX",,,,,,,,,,,,,,,,,,,,
,1390,22,6605,"YJDWN/","צִידֹון",,,,,"nmpr",,"Sidon","Sidom",,,"Mitchel_Sec5.P (22)",,,,"Sidon","Sidom","Sidon",,"done",,,,,,,,,,,,,,,,,,,,,,
,1391,22,6697,"Y<JR/","צָעִיר",,,,,"adjv",,"small, young",,,,"Mitchel_Sec5.P (22)",,"small(-er, -est); young(-er, -est)","pequeno, míúdo","small(-er, -est); young(-er, -est)","pequeno, míúdo","small(-er, -est); young(-er, -est)",,"done",,,,,,,,,,,,,,,,,,,,,,
,1392,22,6905,"QJY[","קיץ",,,,"ii-yod","verb","hif qal","pass summer",,,,"Mitchel_Sec5.P (22)",,,,"hi: wake up; qal: spend the summer;","hi: veranear; qal: XXX; ","hi: wake up; qal: spend the summer; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","hi: veranear; qal: XXX; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","H=6","spend the summer","XXX",,,,,,,,,"wake up","veranear",,,,,,,,,,
,1393,22,7162,"RG</","רֶגַע",,,,,"subs",,"instant; for a moment",,,,"Mitchel_Sec5.P (22)",,"tranquillity; movement","tranquilidade","tranquility; movement","tranquilidade","tranquility; movement",,"done",,,,,,,,,,,,,,,,,,,,,,
,1394,22,7450,"RCT/","רֶשֶׁת",,,,,"subs",,"net; network",,,,"Mitchel_Sec5.P (22)",,"(bird) net","rede, malha","(bird) net","rede, malha","(bird) net",,"done",,,,,,,,,,,,,,,,,,,,,,
,1395,22,7500,"CBW</","שָׁבוּעַ",,,,,"subs",,"week","semana",,,"Mitchel_Sec5.R (20)",,,,"week","semana","week",,"done",,,,,,,,,,,,,,,,,,,,,,
,1396,22,7799,"CKM/","שְׁכֶם",,,,,"subs",,"shoulder; neck; back",,,,"Mitchel_Sec5.P (22)",,"shoulder(s); neck; back","ombro","shoulder(s); neck; back","ombro","shoulder(s); neck; back",,"done",,,,,,,,,,,,,,,,,,,,,,
,1397,22,7858,"CLJCJT/","שְׁלִישִׁית",,,,,"subs",,"third part","terça parte",,,"Mitchel_Sec3.G (111-100)",,,,"third part","terça parte","third part",,"done",,,,,,,,,,,,,,,,,,,,,,
,1398,22,8034,"C<N[","שׁען",,"ii-guttural",,,"verb","nif","lean",,,,"Mitchel_Sec5.P (22)",,,,"ni: lean (against); depend (on);","ni: apoiar-se; ","ni: lean (against); depend (on); qal: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","ni: apoiar-se; qal: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","N=2",,,"lean (against); depend (on)","apoiar-se",,,,,,,,,,,,,,,,,,
